"state","placefp14","cbsa","stab","placefp","placenm","placenm14","cbsaname15","pop10","afact"
"FIPS state","placefp14","CBSA current as of CBSAyr","State Postal Code","placefp","placenm","Place Name 2014","2015 CBSA Name","Total Pop, 2010 census","placefp14 to cbsa alloc factor"
"01","00100","46740","AL"," "," ","Abanda CDP, AL","Valley, AL (Micro)",192,1 
"01","00124","20020","AL"," "," ","Abbeville city, AL","Dothan, AL (Metro)",2688,1 
"01","00460","13820","AL"," "," ","Adamsville city, AL","Birmingham-Hoover, AL (Metro)",4522,1 
"01","00484"," ","AL"," "," ","Addison town, AL"," ",758,1 
"01","00676","46220","AL"," "," ","Akron town, AL","Tuscaloosa, AL (Metro)",356,1 
"01","00820","13820","AL"," "," ","Alabaster city, AL","Birmingham-Hoover, AL (Metro)",30530,1 
"01","00988","10700","AL"," "," ","Albertville city, AL","Albertville, AL (Micro)",21160,1 
"01","01132","10760","AL"," "," ","Alexander City city, AL","Alexander City, AL (Micro)",14875,1 
"01","01180","11500","AL"," "," ","Alexandria CDP, AL","Anniston-Oxford-Jacksonville, AL (Metro)",3917,1 
"01","01228","46220","AL"," "," ","Aliceville city, AL","Tuscaloosa, AL (Metro)",2486,1 
"01","01396","13820","AL"," "," ","Allgood town, AL","Birmingham-Hoover, AL (Metro)",622,1 
"01","01660","13820","AL"," "," ","Altoona town, AL","Birmingham-Hoover, AL (Metro)",30,0.032 
"01","01660","23460","AL"," "," ","Altoona town, AL","Gadsden, AL (Metro)",903,0.968 
"01","01708"," ","AL"," "," ","Andalusia city, AL"," ",9015,1 
"01","01756","22520","AL"," "," ","Anderson town, AL","Florence-Muscle Shoals, AL (Metro)",282,1 
"01","01852","11500","AL"," "," ","Anniston city, AL","Anniston-Oxford-Jacksonville, AL (Metro)",23106,1 
"01","02116","10700","AL"," "," ","Arab city, AL","Albertville, AL (Micro)",8023,0.997 
"01","02116","18980","AL"," "," ","Arab city, AL","Cullman, AL (Micro)",27,0.003 
"01","02260","26620","AL"," "," ","Ardmore town, AL","Huntsville, AL (Metro)",1194,1 
"01","02320","13820","AL"," "," ","Argo town, AL","Birmingham-Hoover, AL (Metro)",4071,1 
"01","02428","37120","AL"," "," ","Ariton town, AL","Ozark, AL (Micro)",764,1 
"01","02500"," ","AL"," "," ","Arley town, AL"," ",357,1 
"01","02836","20020","AL"," "," ","Ashford town, AL","Dothan, AL (Metro)",2150,1 
"01","02860"," ","AL"," "," ","Ashland town, AL"," ",2037,1 
"01","02908","13820","AL"," "," ","Ashville city, AL","Birmingham-Hoover, AL (Metro)",2212,1 
"01","02956","26620","AL"," "," ","Athens city, AL","Huntsville, AL (Metro)",21897,1 
"01","03004","12120","AL"," "," ","Atmore city, AL","Atmore, AL (Micro)",10194,1 
"01","03028","23460","AL"," "," ","Attalla city, AL","Gadsden, AL (Metro)",6048,1 
"01","03076","12220","AL"," "," ","Auburn city, AL","Auburn-Opelika, AL (Metro)",53395,1 
"01","03220","33860","AL"," "," ","Autaugaville town, AL","Montgomery, AL (Metro)",870,1 
"01","03364","20020","AL"," "," ","Avon town, AL","Dothan, AL (Metro)",543,1 
"01","03508","33660","AL"," "," ","Axis CDP, AL","Mobile, AL (Metro)",757,1 
"01","03556"," ","AL"," "," ","Babbie town, AL"," ",603,1 
"01","03676","18980","AL"," "," ","Baileyton town, AL","Cullman, AL (Micro)",610,1 
"01","03724","21640","AL"," "," ","Bakerhill town, AL","Eufaula, AL-GA (Micro)",279,1 
"01","03820","23460","AL"," "," ","Ballplay CDP, AL","Gadsden, AL (Metro)",1580,1 
"01","03940","45980","AL"," "," ","Banks town, AL","Troy, AL (Micro)",179,1 
"01","04660","19300","AL"," "," ","Bay Minette city, AL","Daphne-Fairhope-Foley, AL (Metro)",8309,1 
"01","04684","33660","AL"," "," ","Bayou La Batre city, AL","Mobile, AL (Metro)",2558,1 
"01","04852"," ","AL"," "," ","Bear Creek town, AL"," ",1070,1 
"01","04900"," ","AL"," "," ","Beatrice town, AL"," ",301,1 
"01","04948"," ","AL"," "," ","Beaverton town, AL"," ",201,1 
"01","05140"," ","AL"," "," ","Belgreen CDP, AL"," ",129,1 
"01","05164"," ","AL"," "," ","Belk town, AL"," ",215,1 
"01","05188"," ","AL"," "," ","Bellamy CDP, AL"," ",543,1 
"01","05212","33660","AL"," "," ","Belle Fontaine CDP, AL","Mobile, AL (Metro)",608,1 
"01","05692","33860","AL"," "," ","Benton town, AL","Montgomery, AL (Metro)",49,1 
"01","05932"," ","AL"," "," ","Berry town, AL"," ",1148,1 
"01","05980","13820","AL"," "," ","Bessemer city, AL","Birmingham-Hoover, AL (Metro)",27463,1 
"01","06460","33860","AL"," "," ","Billingsley town, AL","Montgomery, AL (Metro)",144,1 
"01","07000","13820","AL"," "," ","Birmingham city, AL","Birmingham-Hoover, AL (Metro)",212147,1 
"01","07120","20020","AL"," "," ","Black town, AL","Dothan, AL (Metro)",207,1 
"01","07456","13820","AL"," "," ","Blountsville town, AL","Birmingham-Hoover, AL (Metro)",1684,1 
"01","07588","33860","AL"," "," ","Blue Ridge CDP, AL","Montgomery, AL (Metro)",1341,1 
"01","07672","21640","AL"," "," ","Blue Springs town, AL","Eufaula, AL-GA (Micro)",96,1 
"01","07912","10700","AL"," "," ","Boaz city, AL","Albertville, AL (Micro)",8442,0.884 
"01","07912","23460","AL"," "," ","Boaz city, AL","Gadsden, AL (Metro)",1109,0.116 
"01","08104"," ","AL"," "," ","Boligee town, AL"," ",328,1 
"01","08248","45180","AL"," "," ","Bon Air town, AL","Talladega-Sylacauga, AL (Micro)",116,1 
"01","08680"," ","AL"," "," ","Boykin CDP, AL"," ",275,1 
"01","09016"," ","AL"," "," ","Brantley town, AL"," ",809,1 
"01","09064","13820","AL"," "," ","Brantleyville CDP, AL","Birmingham-Hoover, AL (Metro)",884,1 
"01","09136","13820","AL"," "," ","Brent city, AL","Birmingham-Hoover, AL (Metro)",4947,1 
"01","09208","12120","AL"," "," ","Brewton city, AL","Atmore, AL (Micro)",5408,1 
"01","09328","42460","AL"," "," ","Bridgeport city, AL","Scottsboro, AL (Micro)",2418,1 
"01","09400","13820","AL"," "," ","Brighton city, AL","Birmingham-Hoover, AL (Metro)",2945,1 
"01","09424"," ","AL"," "," ","Brilliant town, AL"," ",900,1 
"01","09457","23460","AL"," "," ","Bristow Cove CDP, AL","Gadsden, AL (Metro)",683,1 
"01","09500","13820","AL"," "," ","Brook Highland CDP, AL","Birmingham-Hoover, AL (Metro)",6746,1 
"01","09736","13820","AL"," "," ","Brookside town, AL","Birmingham-Hoover, AL (Metro)",1363,1 
"01","09808","46220","AL"," "," ","Brookwood town, AL","Tuscaloosa, AL (Metro)",1828,1 
"01","09880"," ","AL"," "," ","Broomtown CDP, AL"," ",182,1 
"01","10240","45980","AL"," "," ","Brundidge city, AL","Troy, AL (Micro)",2076,1 
"01","10456","33660","AL"," "," ","Bucks CDP, AL","Mobile, AL (Metro)",32,1 
"01","11032"," ","AL"," "," ","Butler town, AL"," ",1894,1 
"01","11416","13820","AL"," "," ","Calera city, AL","Birmingham-Hoover, AL (Metro)",11618,1 
"01","11488"," ","AL"," "," ","Calvert CDP, AL"," ",168,0.606 
"01","11488","33660","AL"," "," ","Calvert CDP, AL","Mobile, AL (Metro)",109,0.394 
"01","11512"," ","AL"," "," ","Camden city, AL"," ",2020,1 
"01","11680","10760","AL"," "," ","Camp Hill town, AL","Alexander City, AL (Micro)",1014,1 
"01","12016","13820","AL"," "," ","Carbon Hill city, AL","Birmingham-Hoover, AL (Metro)",2021,1 
"01","12040","13820","AL"," "," ","Cardiff town, AL","Birmingham-Hoover, AL (Metro)",55,1 
"01","12070","23460","AL"," "," ","Carlisle-Rockledge CDP, AL","Gadsden, AL (Metro)",2137,1 
"01","12112"," ","AL"," "," ","Carlton CDP, AL"," ",65,1 
"01","12160"," ","AL"," "," ","Carolina town, AL"," ",297,1 
"01","12304","46220","AL"," "," ","Carrollton town, AL","Tuscaloosa, AL (Metro)",1019,1 
"01","12496"," ","AL"," "," ","Castleberry town, AL"," ",583,1 
"01","12544"," ","AL"," "," ","Catherine CDP, AL"," ",22,1 
"01","12760"," ","AL"," "," ","Cedar Bluff town, AL"," ",1823,1 
"01","13264","13820","AL"," "," ","Center Point city, AL","Birmingham-Hoover, AL (Metro)",16934,1 
"01","13648"," ","AL"," "," ","Centre city, AL"," ",3489,1 
"01","13672","13820","AL"," "," ","Centreville city, AL","Birmingham-Hoover, AL (Metro)",2778,1 
"01","14008"," ","AL"," "," ","Chatom town, AL"," ",1288,1 
"01","14104","13820","AL"," "," ","Chelsea city, AL","Birmingham-Hoover, AL (Metro)",10279,1 
"01","14152","22520","AL"," "," ","Cherokee town, AL","Florence-Muscle Shoals, AL (Metro)",1048,1 
"01","14392","33660","AL"," "," ","Chickasaw city, AL","Mobile, AL (Metro)",6106,1 
"01","14464","45180","AL"," "," ","Childersburg city, AL","Talladega-Sylacauga, AL (Micro)",5175,1 
"01","14728","11500","AL"," "," ","Choccolocco CDP, AL","Anniston-Oxford-Jacksonville, AL (Metro)",2804,1 
"01","14968","33660","AL"," "," ","Chunchula CDP, AL","Mobile, AL (Metro)",210,1 
"01","15064","33660","AL"," "," ","Citronelle city, AL","Mobile, AL (Metro)",3918,1 
"01","15136","13820","AL"," "," ","Clanton city, AL","Birmingham-Hoover, AL (Metro)",8619,1 
"01","15256","13820","AL"," "," ","Clay city, AL","Birmingham-Hoover, AL (Metro)",9708,1 
"01","15304","37120","AL"," "," ","Clayhatchee town, AL","Ozark, AL (Micro)",589,1 
"01","15376","21640","AL"," "," ","Clayton town, AL","Eufaula, AL-GA (Micro)",3008,1 
"01","15472","13820","AL"," "," ","Cleveland town, AL","Birmingham-Hoover, AL (Metro)",1303,1 
"01","15640","21640","AL"," "," ","Clio city, AL","Eufaula, AL-GA (Micro)",1399,1 
"01","16000","46220","AL"," "," ","Coaling town, AL","Tuscaloosa, AL (Metro)",1657,1 
"01","16080","23460","AL"," "," ","Coats Bend CDP, AL","Gadsden, AL (Metro)",1394,1 
"01","16240","20020","AL"," "," ","Coffee Springs town, AL","Dothan, AL (Metro)",228,1 
"01","16264"," ","AL"," "," ","Coffeeville town, AL"," ",352,1 
"01","16312","46220","AL"," "," ","Coker town, AL","Tuscaloosa, AL (Metro)",979,1 
"01","16600"," ","AL"," "," ","Collinsville town, AL"," ",21,0.011 
"01","16600","22840","AL"," "," ","Collinsville town, AL","Fort Payne, AL (Micro)",1962,0.989 
"01","16684","18980","AL"," "," ","Colony town, AL","Cullman, AL (Micro)",268,1 
"01","16744","20020","AL"," "," ","Columbia town, AL","Dothan, AL (Metro)",740,1 
"01","16768","13820","AL"," "," ","Columbiana city, AL","Birmingham-Hoover, AL (Metro)",4179,1 
"01","16936","13820","AL"," "," ","Concord CDP, AL","Birmingham-Hoover, AL (Metro)",1837,1 
"01","17176","33860","AL"," "," ","Coosada town, AL","Montgomery, AL (Metro)",1224,1 
"01","17368","13820","AL"," "," ","Cordova city, AL","Birmingham-Hoover, AL (Metro)",2095,1 
"01","17704","46220","AL"," "," ","0117704","Tuscaloosa, AL (Metro)",3198,1 
"01","17824","20020","AL"," "," ","Cottonwood town, AL","Dothan, AL (Metro)",1289,1 
"01","17968","13820","AL"," "," ","County Line town, AL","Birmingham-Hoover, AL (Metro)",258,1 
"01","18040","19460","AL"," "," ","Courtland town, AL","Decatur, AL (Metro)",609,1 
"01","18088","20020","AL"," "," ","Cowarts town, AL","Dothan, AL (Metro)",1877,1 
"01","18304","33660","AL"," "," ","Creola city, AL","Mobile, AL (Metro)",1926,1 
"01","18856","22840","AL"," "," ","Crossville town, AL","Fort Payne, AL (Micro)",1862,1 
"01","18952"," ","AL"," "," ","Cuba town, AL"," ",346,1 
"01","18976","18980","AL"," "," ","Cullman city, AL","Cullman, AL (Micro)",14709,1 
"01","19024"," ","AL"," "," ","Cullomburg CDP, AL"," ",171,1 
"01","19216","46740","AL"," "," ","Cusseta town, AL","Valley, AL (Micro)",123,1 
"01","19336","10760","AL"," "," ","Dadeville city, AL","Alexander City, AL (Micro)",3230,1 
"01","19360","37120","AL"," "," ","Daleville city, AL","Ozark, AL (Micro)",5295,1 
"01","19648","19300","AL"," "," ","Daphne city, AL","Daphne-Fairhope-Foley, AL (Metro)",21587,1 
"01","19744","33660","AL"," "," ","Dauphin Island town, AL","Mobile, AL (Metro)",1238,1 
"01","19816","10760","AL"," "," ","Daviston town, AL","Alexander City, AL (Micro)",214,1 
"01","19912"," ","AL"," "," ","Dayton town, AL"," ",52,1 
"01","20008","33860","AL"," "," ","Deatsville town, AL","Montgomery, AL (Metro)",1154,1 
"01","20104","19460","AL"," "," ","Decatur city, AL","Decatur, AL (Metro)",55599,0.998 
"01","20104","26620","AL"," "," ","Decatur city, AL","Huntsville, AL (Metro)",84,0.002 
"01","20152"," ","AL"," "," ","Deer Park CDP, AL"," ",188,1 
"01","20272"," ","AL"," "," ","Delta CDP, AL"," ",197,1 
"01","20296"," ","AL"," "," ","Demopolis city, AL"," ",7483,1 
"01","20392"," ","AL"," "," ","Detroit town, AL"," ",237,1 
"01","20955","18980","AL"," "," ","Dodge City town, AL","Cullman, AL (Micro)",593,1 
"01","21136","13820","AL"," "," ","Dora city, AL","Birmingham-Hoover, AL (Metro)",2025,1 
"01","21184","20020","AL"," "," ","Dothan city, AL","Dothan, AL (Metro)",64679,0.982 
"01","21184","37120","AL"," "," ","Dothan city, AL","Ozark, AL (Micro)",1155,0.018 
"01","21280"," ","AL"," "," ","Double Springs town, AL"," ",1083,1 
"01","21328","10700","AL"," "," ","Douglas town, AL","Albertville, AL (Micro)",744,1 
"01","21448"," ","AL"," "," ","Dozier town, AL"," ",329,1 
"01","21890","13820","AL"," "," ","Dunnavant CDP, AL","Birmingham-Hoover, AL (Metro)",981,1 
"01","21952","42460","AL"," "," ","Dutton town, AL","Scottsboro, AL (Micro)",315,1 
"01","22216","12120","AL"," "," ","East Brewton city, AL","Atmore, AL (Micro)",2478,1 
"01","22504","18980","AL"," "," ","East Point CDP, AL","Cullman, AL (Micro)",190,1 
"01","22816","33860","AL"," "," ","Eclectic town, AL","Montgomery, AL (Metro)",1001,1 
"01","23032","13820","AL"," "," ","Edgewater CDP, AL","Birmingham-Hoover, AL (Metro)",883,1 
"01","23176"," ","AL"," "," ","Edwardsville town, AL"," ",202,1 
"01","23224","23460","AL"," "," ","Egypt CDP, AL","Gadsden, AL (Metro)",932,1 
"01","23296","21460","AL"," "," ","Elba city, AL","Enterprise, AL (Micro)",3940,1 
"01","23320","19300","AL"," "," ","Elberta town, AL","Daphne-Fairhope-Foley, AL (Metro)",1498,1 
"01","23344","13820","AL"," "," ","Eldridge town, AL","Birmingham-Hoover, AL (Metro)",130,1 
"01","23488","26620","AL"," "," ","Elkmont town, AL","Huntsville, AL (Metro)",434,1 
"01","23656","33860","AL"," "," ","Elmore town, AL","Montgomery, AL (Metro)",1262,1 
"01","23872"," ","AL"," "," ","Emelle town, AL"," ",53,1 
"01","23880","33860","AL"," "," ","Emerald Mountain CDP, AL","Montgomery, AL (Metro)",2561,1 
"01","24184","21460","AL"," "," ","Enterprise city, AL","Enterprise, AL (Micro)",26155,0.982 
"01","24184","37120","AL"," "," ","Enterprise city, AL","Ozark, AL (Micro)",477,0.018 
"01","24256"," ","AL"," "," ","Epes town, AL"," ",192,1 
"01","24472","46220","AL"," "," ","Ethelsville town, AL","Tuscaloosa, AL (Metro)",81,1 
"01","24568","21640","AL"," "," ","Eufaula city, AL","Eufaula, AL-GA (Micro)",13137,1 
"01","24616","20020","AL"," "," ","Eunola CDP, AL","Dothan, AL (Metro)",243,1 
"01","24664"," ","AL"," "," ","Eutaw town, AL"," ",2934,1 
"01","24688","19460","AL"," "," ","Eva town, AL","Decatur, AL (Metro)",519,1 
"01","24808"," ","AL"," "," ","Evergreen city, AL"," ",3944,1 
"01","24880"," ","AL"," "," ","Excel town, AL"," ",723,1 
"01","25120","13820","AL"," "," ","Fairfield city, AL","Birmingham-Hoover, AL (Metro)",11117,1 
"01","25216"," ","AL"," "," ","Fairford CDP, AL"," ",186,1 
"01","25240","19300","AL"," "," ","Fairhope city, AL","Daphne-Fairhope-Foley, AL (Metro)",15326,1 
"01","25384","18980","AL"," "," ","Fairview town, AL","Cullman, AL (Micro)",446,1 
"01","25648","19460","AL"," "," ","Falkville town, AL","Decatur, AL (Metro)",1279,1 
"01","25816"," ","AL"," "," ","Faunsdale town, AL"," ",98,1 
"01","25840"," ","AL"," "," ","Fayette city, AL"," ",4619,1 
"01","25864","45180","AL"," "," ","Fayetteville CDP, AL","Talladega-Sylacauga, AL (Micro)",1284,1 
"01","26152"," ","AL"," "," ","Fitzpatrick CDP, AL"," ",83,1 
"01","26200","46740","AL"," "," ","Five Points town, AL","Valley, AL (Micro)",141,1 
"01","26824","12120","AL"," "," ","Flomaton town, AL","Atmore, AL (Micro)",1440,1 
"01","26848"," ","AL"," "," ","Florala town, AL"," ",1980,1 
"01","26896","22520","AL"," "," ","Florence city, AL","Florence-Muscle Shoals, AL (Metro)",39319,1 
"01","26992","19300","AL"," "," ","Foley city, AL","Daphne-Fairhope-Foley, AL (Metro)",14712,1 
"01","27088","13820","AL"," "," ","Forestdale CDP, AL","Birmingham-Hoover, AL (Metro)",10162,1 
"01","27376"," ","AL"," "," ","Forkland town, AL"," ",649,1 
"01","27520","33860","AL"," "," ","Fort Deposit town, AL","Montgomery, AL (Metro)",1344,1 
"01","27616","22840","AL"," "," ","Fort Payne city, AL","Fort Payne, AL (Micro)",14042,1 
"01","27640","37120","AL"," "," ","Fort Rucker CDP, AL","Ozark, AL (Micro)",4636,1 
"01","28024"," ","AL"," "," ","Franklin town, AL"," ",149,1 
"01","28120","46740","AL"," "," ","Fredonia CDP, AL","Valley, AL (Micro)",199,1 
"01","28312"," ","AL"," "," ","Frisco City town, AL"," ",1309,1 
"01","28408"," ","AL"," "," ","Fruitdale CDP, AL"," ",185,1 
"01","28432"," ","AL"," "," ","Fruithurst town, AL"," ",284,1 
"01","28504"," ","AL"," "," ","Fulton town, AL"," ",272,1 
"01","28552","13820","AL"," "," ","Fultondale city, AL","Birmingham-Hoover, AL (Metro)",8380,1 
"01","28672","22840","AL"," "," ","Fyffe town, AL","Fort Payne, AL (Micro)",1018,1 
"01","28696","23460","AL"," "," ","Gadsden city, AL","Gadsden, AL (Metro)",36858,1 
"01","28768"," ","AL"," "," ","Gainesville town, AL"," ",208,1 
"01","28816","23460","AL"," "," ","Gallant CDP, AL","Gadsden, AL (Metro)",855,1 
"01","28936"," ","AL"," "," ","Gantt town, AL"," ",222,1 
"01","29032","18980","AL"," "," ","Garden City town, AL","Cullman, AL (Micro)",492,1 
"01","29056","13820","AL"," "," ","Gardendale city, AL","Birmingham-Hoover, AL (Metro)",13904,1 
"01","29296"," ","AL"," "," ","Gaylesville town, AL"," ",144,1 
"01","29392"," ","AL"," "," ","Geiger town, AL"," ",170,1 
"01","29464","20020","AL"," "," ","Geneva city, AL","Dothan, AL (Metro)",4452,1 
"01","29560"," ","AL"," "," ","Georgiana town, AL"," ",1738,1 
"01","29608","22840","AL"," "," ","Geraldine town, AL","Fort Payne, AL (Micro)",896,1 
"01","29704"," ","AL"," "," ","Gilbertown town, AL"," ",215,1 
"01","29944"," ","AL"," "," ","Glen Allen town, AL"," ",510,1 
"01","29992","11500","AL"," "," ","Glencoe city, AL","Anniston-Oxford-Jacksonville, AL (Metro)",38,0.007 
"01","29992","23460","AL"," "," ","Glencoe city, AL","Gadsden, AL (Metro)",5122,0.993 
"01","30160"," ","AL"," "," ","Glenwood town, AL"," ",187,1 
"01","30448","10760","AL"," "," ","Goldville town, AL","Alexander City, AL (Micro)",55,1 
"01","30496","18980","AL"," "," ","Good Hope town, AL","Cullman, AL (Micro)",2264,1 
"01","30640","45180","AL"," "," ","Goodwater town, AL","Talladega-Sylacauga, AL (Micro)",1475,1 
"01","30736","46220","AL"," "," ","Gordo town, AL","Tuscaloosa, AL (Metro)",1750,1 
"01","30760","20020","AL"," "," ","Gordon town, AL","Dothan, AL (Metro)",330,1 
"01","30808","33860","AL"," "," ","Gordonville town, AL","Montgomery, AL (Metro)",326,1 
"01","30880","45980","AL"," "," ","Goshen town, AL","Troy, AL (Micro)",266,1 
"01","31000"," ","AL"," "," ","Graham CDP, AL"," ",211,1 
"01","31024","33660","AL"," "," ","Grand Bay CDP, AL","Mobile, AL (Metro)",3672,1 
"01","31096","10700","AL"," "," ","Grant town, AL","Albertville, AL (Micro)",906,1 
"01","31348","13820","AL"," "," ","Grayson Valley CDP, AL","Birmingham-Hoover, AL (Metro)",5736,1 
"01","31384","13820","AL"," "," ","Graysville city, AL","Birmingham-Hoover, AL (Metro)",2165,1 
"01","31720","46220","AL"," "," ","Greensboro city, AL","Tuscaloosa, AL (Metro)",2497,1 
"01","31912"," ","AL"," "," ","Greenville city, AL"," ",8135,1 
"01","32056","37120","AL"," "," ","Grimes town, AL","Ozark, AL (Micro)",558,1 
"01","32080"," ","AL"," "," ","Grove Hill town, AL"," ",1570,1 
"01","32224"," ","AL"," "," ","Guin city, AL"," ",2376,1 
"01","32248","33660","AL"," "," ","Gulfcrest CDP, AL","Mobile, AL (Metro)",161,1 
"01","32272","19300","AL"," "," ","Gulf Shores city, AL","Daphne-Fairhope-Foley, AL (Metro)",10101,1 
"01","32416","10700","AL"," "," ","Guntersville city, AL","Albertville, AL (Micro)",8197,1 
"01","32440","26620","AL"," "," ","Gurley town, AL","Huntsville, AL (Metro)",801,1 
"01","32536"," ","AL"," "," ","Gu-Win town, AL"," ",176,1 
"01","32560"," ","AL"," "," ","Hackleburg town, AL"," ",1516,1 
"01","32584","10760","AL"," "," ","Hackneyville CDP, AL","Alexander City, AL (Micro)",347,1 
"01","32656","20020","AL"," "," ","Haleburg town, AL","Dothan, AL (Metro)",103,1 
"01","32704"," ","AL"," "," ","Haleyville city, AL"," ",4173,1 
"01","32848"," ","AL"," "," ","Hamilton city, AL"," ",6885,1 
"01","32896","22840","AL"," "," ","Hammondville town, AL","Fort Payne, AL (Micro)",488,1 
"01","32968","18980","AL"," "," ","Hanceville city, AL","Cullman, AL (Micro)",2982,1 
"01","33256","13820","AL"," "," ","Harpersville town, AL","Birmingham-Hoover, AL (Metro)",1636,1 
"01","33424","20020","AL"," "," ","Hartford city, AL","Dothan, AL (Metro)",2624,1 
"01","33448","19460","AL"," "," ","Hartselle city, AL","Decatur, AL (Metro)",14258,1 
"01","33472","26620","AL"," "," ","Harvest CDP, AL","Huntsville, AL (Metro)",5281,1 
"01","33544","19460","AL"," "," ","Hatton CDP, AL","Decatur, AL (Metro)",261,1 
"01","33640","13820","AL"," "," ","Hayden town, AL","Birmingham-Hoover, AL (Metro)",535,1 
"01","33712","33860","AL"," "," ","Hayneville town, AL","Montgomery, AL (Metro)",932,1 
"01","33808","26620","AL"," "," ","Hazel Green CDP, AL","Huntsville, AL (Metro)",3630,1 
"01","33856","20020","AL"," "," ","Headland city, AL","Dothan, AL (Metro)",4510,1 
"01","33904"," ","AL"," "," ","Heath town, AL"," ",254,1 
"01","33976"," ","AL"," "," ","Heflin city, AL"," ",3480,1 
"01","34024","13820","AL"," "," ","Helena city, AL","Birmingham-Hoover, AL (Metro)",16890,1 
"01","34096","22840","AL"," "," ","Henagar city, AL","Fort Payne, AL (Micro)",2344,1 
"01","34480","13820","AL"," "," ","Highland Lake town, AL","Birmingham-Hoover, AL (Metro)",412,1 
"01","34490","13820","AL"," "," ","Highland Lakes CDP, AL","Birmingham-Hoover, AL (Metro)",3923,1 
"01","34816","19460","AL"," "," ","Hillsboro town, AL","Decatur, AL (Metro)",552,1 
"01","34984","45180","AL"," "," ","Hissop CDP, AL","Talladega-Sylacauga, AL (Micro)",658,1 
"01","35130"," ","AL"," "," ","Hobson CDP, AL"," ",126,1 
"01","35152","11500","AL"," "," ","Hobson City town, AL","Anniston-Oxford-Jacksonville, AL (Metro)",771,1 
"01","35200"," ","AL"," "," ","Hodges town, AL"," ",288,1 
"01","35392","23460","AL"," "," ","Hokes Bluff city, AL","Gadsden, AL (Metro)",4286,1 
"01","35512"," ","AL"," "," ","Hollins CDP, AL"," ",545,1 
"01","35536"," ","AL"," "," ","Hollis Crossroads CDP, AL"," ",608,1 
"01","35560","18980","AL"," "," ","Holly Pond town, AL","Cullman, AL (Micro)",798,1 
"01","35632","42460","AL"," "," ","Hollywood town, AL","Scottsboro, AL (Micro)",1000,1 
"01","35704","46220","AL"," "," ","Holt CDP, AL","Tuscaloosa, AL (Metro)",3638,1 
"01","35752","33860","AL"," "," ","Holtville CDP, AL","Montgomery, AL (Metro)",4096,1 
"01","35800","13820","AL"," "," ","Homewood city, AL","Birmingham-Hoover, AL (Metro)",25167,1 
"01","35896","13820","AL"," "," ","Hoover city, AL","Birmingham-Hoover, AL (Metro)",81510,1 
"01","36088"," ","AL"," "," ","Horn Hill town, AL"," ",228,1 
"01","36448","13820","AL"," "," ","Hueytown city, AL","Birmingham-Hoover, AL (Metro)",16105,1 
"01","36592","46740","AL"," "," ","Huguley CDP, AL","Valley, AL (Micro)",2540,1 
"01","37000","26620","AL"," "," ","Huntsville city, AL","Huntsville, AL (Metro)",180379,1 
"01","37096","17980","AL"," "," ","Hurtsboro town, AL","Columbus, GA-AL (Metro)",553,1 
"01","37264","42460","AL"," "," ","Hytop town, AL","Scottsboro, AL (Micro)",354,1 
"01","37312","22840","AL"," "," ","Ider town, AL","Fort Payne, AL (Micro)",723,1 
"01","37465","13820","AL"," "," ","Indian Springs Village city, AL","Birmingham-Hoover, AL (Metro)",2409,1 
"01","37864","13820","AL"," "," ","Irondale city, AL","Birmingham-Hoover, AL (Metro)",12356,1 
"01","38032","23460","AL"," "," ","Ivalee CDP, AL","Gadsden, AL (Metro)",879,1 
"01","38152"," ","AL"," "," ","Jackson city, AL"," ",5228,1 
"01","38248","10760","AL"," "," ","Jacksons Gap town, AL","Alexander City, AL (Micro)",828,1 
"01","38272","11500","AL"," "," ","Jacksonville city, AL","Anniston-Oxford-Jacksonville, AL (Metro)",12548,1 
"01","38416","13820","AL"," "," ","Jasper city, AL","Birmingham-Hoover, AL (Metro)",14357,1 
"01","38608","13820","AL"," "," ","Jemison city, AL","Birmingham-Hoover, AL (Metro)",2603,1 
"01","39064","10700","AL"," "," ","0139064","Albertville, AL (Micro)",110,0.22 
"01","39064","18980","AL"," "," ","0139064","Cullman, AL (Micro)",391,0.78 
"01","39280","13820","AL"," "," ","Kansas town, AL","Birmingham-Hoover, AL (Metro)",226,1 
"01","39472","45180","AL"," "," ","Kellyton town, AL","Talladega-Sylacauga, AL (Micro)",217,1 
"01","39520"," ","AL"," "," ","Kennedy town, AL"," ",447,1 
"01","39784","22520","AL"," "," ","Killen town, AL","Florence-Muscle Shoals, AL (Metro)",965,1 
"01","39856","13820","AL"," "," ","Kimberly town, AL","Birmingham-Hoover, AL (Metro)",2711,1 
"01","40072","20020","AL"," "," ","Kinsey town, AL","Dothan, AL (Metro)",2198,1 
"01","40096","21460","AL"," "," ","Kinston town, AL","Enterprise, AL (Micro)",540,1 
"01","40648","17980","AL"," "," ","Ladonia CDP, AL","Columbus, GA-AL (Metro)",3142,1 
"01","40672","46740","AL"," "," ","La Fayette city, AL","Valley, AL (Micro)",3003,1 
"01","40888","22840","AL"," "," ","Lakeview town, AL","Fort Payne, AL (Micro)",143,1 
"01","40928","46220","AL"," "," ","Lake View town, AL","Tuscaloosa, AL (Metro)",1943,1 
"01","41296","46740","AL"," "," ","Lanett city, AL","Valley, AL (Micro)",6468,1 
"01","41368","42460","AL"," "," ","Langston town, AL","Scottsboro, AL (Micro)",270,1 
